comment_id,comment_text,toxicity,is_toxic,n_raters,n_toxic_votes,article_id,publication_id,created_date,rating,n_chars,n_words,mentions_identity,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability
6057864,"Just as we expect from Trump and his legion: a remarkable ability to cram stupid, vicious, and racist into a few short words.

You make me sick.",0.88,yes,50,44,383807,54,2017-09-30 18:21:07.656475+00,rejected,144,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5968216,Closet Gay Monarchists who practise birth control? No wonder they are spriit deficient.,0.734375,yes,64,47,378572,53,2017-09-17 09:46:31.115566+00,approved,87,13,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5371215,"Typical pof wingers, especially Trump Bot Apologists.",0.0,no,4,0,341189,21,2017-06-07 07:33:02.092290+00,approved,53,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426641,"Indignant Christians that know how use use Google should be aware that modern Satanists do not actually believe in God or Satan--they are atheists/secular humanists.  Therefore, this invocation was not actually a prayer to Satan, but rather political commentary meant to remind us that government bodies are not allowed to endorse any particular religion and must be open  to invocations from any group if they are also allowing Christian prayers. But unfortunately, the righteous indignation comes off sounding ignorant and un-American. 
Don't take my word for it, see for yourselves: https://en.m.wikipedia.org/wiki/The_Satanic_Temple",0.5,yes,10,5,143504,21,2016-08-11 17:59:01.019066+00,approved,636,91,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347807,The Lefties are just gaining hold of our dear city.  People seem to be striving for stupid when they vote.,0.8153846153846154,yes,65,53,138591,21,2016-06-12 21:15:53.279490+00,approved,106,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288050,"Hadiya- Thank you for sharing your story. 
I rarely read ever single paragraph of an article, but today I did. I am a white woman who although did not work in a professional career on Bay Street, did work on Bay Street for almost 20 years , in hospitality. 
To all those who are making/insensitive, negative comments- maybe you have never experienced or witnessed such things occurring, but Hadiya’ experiences are exactly what I witnessed personally for 20 years.
I was always accepted/respected without question- yet my colleagues/coworkers who were NOT of western descent were treated with less respect/ acceptance. I witnessed this on a daily basis. Congrats on all your success. Your strength and beauty made my morning.

Theresa Dudziak",0.2,no,5,1,397035,54,2017-11-04 15:20:58.636748+00,approved,742,121,True,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343721,"Hogwash, Ridgefield.  Why should we pay for your home?  No way man.  Millions of other true Veterans managed to work and find themselves suitable housing after they came back from serving their blessed time in the military; and just think about the tens of thousand of our soldiers that didn't come home to their families and their families buried their loved ones honorably and managed to move on and take care of themselves.  Since when does our government owe you or anyone else a lifestyle?",0.0,no,4,0,138285,21,2016-06-09 06:13:55.439290+00,approved,494,85,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5661917,"The ""pursuit of happiness"" is not a guarantee of happiness. My pursuit of happiness could be by depriving someone else of their property. That is not what the founders had in mind. 

The Constitution is a proscriptive document, limiting the power of the central government and deferring as much power back to the smallest form of government or to the people. It is essentially subsidiarity codified.

Jesus did not command to give unto Caesar that which is Caesar's, which would in turn provide for all of our needs. His parable of the Good Samaritan puts the charity of an individual to be his brother's keeper, not the government.

Single payer will lead to rationing or denial. That is its logical end.",0.0,no,4,0,359480,53,2017-07-26 16:16:26.896176+00,approved,705,121,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5612354,"""Jody Wilson-Raybould is the Minister of Justice and Attorney-General of Canada.""

As the Minister of Justice and Attorney-General of Canada I suspect you would have been involved in the Khadr payout. I'd rather read why you and the government tried to keep it secret from Canadians and we only found out when someone leaked the info. Yet another article about natives would seem to me to be another attempt to deflect attention away from the Khadr settlement and not be truthful to Canadians.",0.0,no,4,0,356531,54,2017-07-18 11:57:42.724802+00,rejected,493,83,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
976534,"""Of course only the enlightened ""caring folks"" want to murder helpless babies"", they'll tell you.

I'm looking forward to the Supreme Court overturning RvW.",0.1666666666666666,no,6,1,167292,54,2017-02-10 11:21:05.489847+00,approved,156,24,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
